QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,CITY,STATE,POSTALCODE,COUNTRY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
41,50.14,2055.74,10/01/2003,Shipped,1,1,2003,Vintage Cars,S18_1367,Vitachrome Inc.,2125551500,2678 Kingston Rd.,NYC,NY,10022,USA,Frick,Michael,Small
48,49.06,2354.88,25/03/2003,Shipped,1,3,2003,Vintage Cars,S18_1367,Mini Wheels Co.,6505555787,5557 North Pendale Street,San Francisco,CA,0,USA,Murphy,Julie,Small
42,54.99,2309.58,28/05/2003,Shipped,2,5,2003,Vintage Cars,S18_1367,"Corrida Auto Replicas, Ltd",+(915552282,"C/ Araquil, 67",Madrid,Madrid,28023,Spain,Sommer,Mart¡n,Small
49,43.13,2113.37,16/07/2003,Shipped,3,7,2003,Vintage Cars,S18_1367,Souveniers And Things Co.,61294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Small
30,58.22,1746.6,12/09/2003,Shipped,3,9,2003,Vintage Cars,S18_1367,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA,Taylor,Sue,Small
45,51.21,2304.45,18/10/2003,Shipped,4,10,2003,Vintage Cars,S18_1367,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Small
48,44.21,2122.08,05/11/2003,Shipped,4,11,2003,Vintage Cars,S18_1367,Rovelli Gifts,35640555,Via Ludovico il Moro 22,Bergamo,Bergamo,24100,Italy,Rovelli,Giovanni,Small
32,54.45,1742.4,12/11/2003,Shipped,4,11,2003,Vintage Cars,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
46,53.37,2455.02,21/11/2003,Shipped,4,11,2003,Vintage Cars,S18_1367,"Australian Collectables, Ltd",61938446555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Small
48,63.61,3053.28,03/12/2003,Shipped,4,12,2003,Vintage Cars,S18_1367,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Medium
33,43.13,1423.29,29/01/2004,Shipped,1,1,2004,Vintage Cars,S18_1367,West Coast Collectables Co.,3105553722,3675 Furth Circle,Burbank,CA,94019,USA,Thompson,Steve,Small
31,48.52,1504.12,02/03/2004,Shipped,1,3,2004,Vintage Cars,S18_1367,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",Lyon,Lyon,69004,France,Saveley,Mary,Small
20,58.22,1164.4,29/04/2004,Shipped,2,4,2004,Vintage Cars,S18_1367,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Small
29,51.75,1500.75,08/06/2004,Shipped,2,6,2004,Vintage Cars,S18_1367,Danish Wholesale Imports,31123555,Vinb'ltet 34,Kobenhavn,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
27,57.68,1557.36,17/08/2004,Shipped,3,8,2004,Vintage Cars,S18_1367,Amica Models & Co.,114988555,Via Monte Bianco 34,Torino,Torino,10100,Italy,Accorti,Paolo,Small
24,56.07,1345.68,03/09/2004,Shipped,3,9,2004,Vintage Cars,S18_1367,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bergen,Bergen,N 5804,Norway,Oeztan,Veysel,Small
37,48.52,1795.24,11/10/2004,Shipped,4,10,2004,Vintage Cars,S18_1367,Auto Assoc. & Cie.,30598555,"67, avenue de l'Europe",Versailles,Versailles,78000,France,Tonini,Daniel,Small
25,44.21,1105.25,21/10/2004,Shipped,4,10,2004,Vintage Cars,S18_1367,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Small
41,57.68,2364.88,04/11/2004,Shipped,4,11,2004,Vintage Cars,S18_1367,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie,Small
27,89.89,2427.03,17/11/2004,Shipped,4,11,2004,Vintage Cars,S18_1367,"AV Stores, Co.",+(1715551555,Fauntleroy Circus,Manchester,Manchester,EC2 5NT,UK,Ashworth,Victoria,Small
21,58.95,1237.95,29/11/2004,Shipped,4,11,2004,Vintage Cars,S18_1367,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Small
22,72.41,1593.02,09/12/2004,Shipped,4,12,2004,Vintage Cars,S18_1367,Lyon Souveniers,33146627555,27 rue du Colonel Pierre Avia,Paris,Paris,75508,France,Da Cunha,Daniel,Small
32,98.63,3156.16,20/01/2005,Shipped,1,1,2005,Vintage Cars,S18_1367,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Nelson,Allen,Medium
25,52.83,1320.75,17/02/2005,Shipped,1,2,2005,Vintage Cars,S18_1367,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Small
42,100,4998,09/03/2005,Shipped,1,3,2005,Vintage Cars,S18_1367,"Anna's Decorations, Ltd",299368555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Medium
25,51.75,1293.75,30/05/2005,In Process,2,5,2005,Vintage Cars,S18_1367,Diecast Classics Inc.,2155551555,7586 Pompton St.,Allentown,PA,70267,USA,Yu,Kyung,Small
37,100,5433.08,18/03/2003,Shipped,1,3,2003,Classic Cars,S18_1589,"AV Stores, Co.",+(1715551555,Fauntleroy Circus,Manchester,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
26,100,3073.72,20/05/2003,Shipped,2,5,2003,Classic Cars,S18_1589,Atelier graphique,40322555,"54, rue Royale",Nantes,Nantes,44000,France,Schmitt,Carine,Medium
44,99.55,4380.2,10/07/2003,Shipped,3,7,2003,Classic Cars,S18_1589,Reims Collectables,26471555,59 rue de l'Abbaye,Reims,Reims,51100,France,Henriot,Paul,Medium
47,100,5848.68,11/09/2003,Shipped,3,9,2003,Classic Cars,S18_1589,"Anna's Decorations, Ltd",299368555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Medium
43,100,6153.73,17/10/2003,Shipped,4,10,2003,Classic Cars,S18_1589,Heintze Collectables,86213555,Smagsloget 45,Aaarhus,Aaarhus,8200,Denmark,Ibsen,Palle,Medium
42,100,4965.24,05/11/2003,Shipped,4,11,2003,Classic Cars,S18_1589,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Bridgewater,CT,97562,USA,King,Julie,Medium
42,100,5435.64,12/11/2003,Shipped,4,11,2003,Classic Cars,S18_1589,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bergen,Bergen,N 5804,Norway,Oeztan,Veysel,Medium
29,100,4258.36,20/11/2003,Shipped,4,11,2003,Classic Cars,S18_1589,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie,Medium
40,100,4032,02/12/2003,Shipped,4,12,2003,Classic Cars,S18_1589,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff,Medium
38,100,4492.36,16/01/2004,Shipped,1,1,2004,Classic Cars,S18_1589,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Medium
38,100,4161.38,26/02/2004,Shipped,1,2,2004,Classic Cars,S18_1589,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,Thompson,Valarie,Medium
21,100,2508.66,13/04/2004,Shipped,2,4,2004,Classic Cars,S18_1589,Mini Caravy,88601555,"24, place Kluber",Strasbourg,Strasbourg,67000,France,Citeaux,Frederique,Small
24,100,3374.88,01/06/2004,Cancelled,2,6,2004,Classic Cars,S18_1589,"UK Collectables, Ltd.",+(1715552282,Berkeley Gardens 12  Brewery,Liverpool,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Medium
36,100,5196.6,06/07/2004,Shipped,3,7,2004,Classic Cars,S18_1589,L'ordine Souveniers,522556555,Strada Provinciale 124,Reggio Emilia,Reggio Emilia,42100,Italy,Moroni,Maurizio,Medium
23,100,2604.52,06/08/2004,Shipped,3,8,2004,Classic Cars,S18_1589,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
20,100,2936.8,01/09/2004,Shipped,3,9,2004,Classic Cars,S18_1589,Handji Gifts& Co,652241555,Village Close - 106 Linden Road Sandown,Singapore,Singapore,69045,Singapore,Victorino,Wendy,Small
32,100,3424.64,05/10/2003,Shipped,4,10,2003,Classic Cars,S18_1589,"Norway Gifts By Mail, Co.",4722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Oslo,N 0106,Norway,Klaeboe,Jan,Medium
29,100,2923.2,16/10/2004,Shipped,4,10,2004,Classic Cars,S18_1589,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Small
44,100,4489.76,04/11/2004,Shipped,4,11,2004,Classic Cars,S18_1589,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta,Medium
44,100,4849.24,17/11/2004,Shipped,4,11,2004,Classic Cars,S18_1589,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa,Medium
36,100,5848.92,24/11/2004,Shipped,4,11,2004,Classic Cars,S18_1589,Reims Collectables,26471555,59 rue de l'Abbaye,Reims,Reims,51100,France,Henriot,Paul,Medium
49,56.3,2758.7,12/01/2005,Resolved,1,1,2005,Classic Cars,S18_1589,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Small
34,42.64,1449.76,10/02/2005,Shipped,1,2,2005,Classic Cars,S18_1589,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Small
59,100,7048.14,22/04/2005,On Hold,2,4,2005,Classic Cars,S18_1589,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Large
37,100,5202.94,17/05/2005,Shipped,2,5,2005,Classic Cars,S18_1589,Salzburg Collectables,65629555,Geislweg 14,Salzburg,Salzburg,5020,Austria,Pipps,Georg,Medium
36,100,5279.4,17/02/2003,Shipped,1,2,2003,Planes,S18_1662,Rovelli Gifts,35640555,Via Ludovico il Moro 22,Bergamo,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
43,100,6916.12,28/04/2003,Shipped,2,4,2003,Planes,S18_1662,Salzburg Collectables,65629555,Geislweg 14,Salzburg,Salzburg,5020,Austria,Pipps,Georg,Medium
21,100,2781.66,16/06/2003,Shipped,2,6,2003,Planes,S18_1662,Gift Ideas Corp.,2035554407,2440 Pompton St.,Glendale,CT,97561,USA,Lewis,Dan,Small
32,100,5248,10/08/2003,Shipped,3,8,2003,Planes,S18_1662,Mini Creations Ltd.,5085559555,4575 Hillside Dr.,New Bedford,MA,50553,USA,Tam,Wing C,Medium
38,100,6531.44,06/10/2003,Shipped,4,10,2003,Planes,S18_1662,"Toys of Finland, Co.",902248555,Keskuskatu 45,Helsinki,Helsinki,21240,Finland,Karttunen,Matti,Medium
43,100,5763.72,23/10/2003,Cancelled,4,10,2003,Planes,S18_1662,Scandinavian Gift Ideas,695346555,?kergatan 24,Boras,Boras,S-844 67,Sweden,Larsson,Maria,Medium
42,100,6490.68,08/11/2003,Shipped,4,11,2003,Planes,S18_1662,Alpha Cognac,61776555,1 rue Alsace-Lorraine,Toulouse,Toulouse,31000,France,Roulet,Annette,Medium
32,100,6004.8,14/11/2003,Shipped,4,11,2003,Planes,S18_1662,"Double Decker Gift Stores, Ltd",+(1715557555,120 Hanover Sq.,London,London,WA1 1DP,UK,Hardy,Thomas,Medium
42,100,7483.98,27/11/2003,Shipped,4,11,2003,Planes,S18_1662,Cruz & Sons Co.,6325553587,15 McCallum Street - NatWest Center #13-03,Makati City,Makati City,1227 MM,Philippines,Cruz,Arnold,Large
31,100,5719.5,12/01/2004,Shipped,1,1,2004,Planes,S18_1662,Osaka Souveniers Co.,8.10663E+11,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,530-0003,Japan,Kentary,Mory,Medium
49,100,6954.08,19/02/2004,Shipped,1,2,2004,Planes,S18_1662,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,Thompson,Valarie,Medium
45,100,8160.3,11/05/2004,Shipped,2,5,2004,Planes,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Large
49,100,6567.96,24/06/2004,Cancelled,2,6,2004,Planes,S18_1662,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Medium
41,100,6724,21/07/2004,Shipped,3,7,2004,Planes,S18_1662,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Nelson,Allen,Medium
45,100,5747.85,21/08/2004,Shipped,3,8,2004,Planes,S18_1662,"Norway Gifts By Mail, Co.",4722121555,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Oslo,N 0106,Norway,Klaeboe,Jan,Medium
36,100,5676.84,15/09/2004,Shipped,3,9,2004,Planes,S18_1662,"Bavarian Collectables Imports, Co.",4.98961E+11,Hansastr. 15,Munich,Munich,80686,Germany,Donnermeyer,Michael,Medium
39,100,7379.97,14/10/2004,Shipped,4,10,2004,Planes,S18_1662,"Classic Gift Ideas, Inc",2155554695,782 First Street,Philadelphia,PA,71270,USA,Cervantes,Francisca,Large
27,100,3704.13,01/11/2004,Shipped,4,11,2004,Planes,S18_1662,giftsbymail.co.uk,+(1985558888,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,Bennett,Helen,Medium
25,100,2804.75,10/11/2004,Resolved,4,11,2004,Planes,S18_1662,Danish Wholesale Imports,31123555,Vinb'ltet 34,Kobenhavn,Kobenhavn,1734,Denmark,Petersen,Jytte,Small
41,100,5624.79,22/11/2004,Shipped,4,11,2004,Planes,S18_1662,Royale Belge,+(07123672555,"Boulevard Tirou, 255",Charleroi,Charleroi,B-6000,Belgium,Cartrain,Pascale,Medium
39,99.52,3881.28,03/12/2004,Shipped,4,12,2004,Planes,S18_1662,"Stylish Desk Decors, Co.",+(1715550297,35 King George,London,London,WX3 6FW,UK,Brown,Ann,Medium
28,57.55,1611.4,31/01/2005,Shipped,1,1,2005,Planes,S18_1662,"Oulu Toy Supplies, Inc.",981443655,Torikatu 38,Oulu,Oulu,90110,Finland,Koskitalo,Pirkko,Small
25,54.57,1364.25,01/03/2005,Resolved,1,3,2005,Planes,S18_1662,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Small
33,100,4215.09,30/03/2005,Shipped,1,3,2005,Planes,S18_1662,Reims Collectables,26471555,59 rue de l'Abbaye,Reims,Reims,51100,France,Henriot,Paul,Medium
34,100,6433.82,01/04/2005,Shipped,2,4,2005,Planes,S18_1662,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Medium
24,100,4352.16,10/05/2005,Shipped,2,5,2005,Planes,S18_1662,L'ordine Souveniers,522556555,Strada Provinciale 124,Reggio Emilia,Reggio Emilia,42100,Italy,Moroni,Maurizio,Medium
30,100,5151,06/01/2003,Shipped,1,1,2003,Vintage Cars,S18_1749,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie,Medium
42,100,6069,18/03/2003,Shipped,1,3,2003,Vintage Cars,S18_1749,"AV Stores, Co.",+(1715551555,Fauntleroy Circus,Manchester,Manchester,EC2 5NT,UK,Ashworth,Victoria,Medium
21,100,2856,21/05/2003,Shipped,2,5,2003,Vintage Cars,S18_1749,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
34,100,5375.4,12/09/2003,Shipped,3,9,2003,Vintage Cars,S18_1749,Signal Collectibles Ltd.,4155554312,2793 Furth Circle,Brisbane,CA,94217,USA,Taylor,Sue,Medium
29,100,5176.5,18/10/2003,Shipped,4,10,2003,Vintage Cars,S18_1749,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,San Francisco,CA,0,USA,Brown,Julie,Medium
24,100,3508.8,05/11/2003,Shipped,4,11,2003,Vintage Cars,S18_1749,Rovelli Gifts,35640555,Via Ludovico il Moro 22,Bergamo,Bergamo,24100,Italy,Rovelli,Giovanni,Medium
44,100,7554.8,12/11/2003,Shipped,4,11,2003,Vintage Cars,S18_1749,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Large
21,100,3141.6,21/11/2003,Shipped,4,11,2003,Vintage Cars,S18_1749,"Australian Collectables, Ltd",61938446555,7 Allen Street,Glen Waverly,Victoria,3150,Australia,Connery,Sean,Medium
33,100,5890.5,02/12/2003,Shipped,4,12,2003,Vintage Cars,S18_1749,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff,Medium
30,100,5967,26/01/2004,Shipped,1,1,2004,Vintage Cars,S18_1749,"Corrida Auto Replicas, Ltd",+(915552282,"C/ Araquil, 67",Madrid,Madrid,28023,Spain,Sommer,Mart¡n,Medium
26,100,3712.8,02/03/2004,Shipped,1,3,2004,Vintage Cars,S18_1749,"Saveley & Henriot, Co.",78325555,"2, rue du Commerce",Lyon,Lyon,69004,France,Saveley,Mary,Medium
41,100,7597.3,13/04/2004,Shipped,2,4,2004,Vintage Cars,S18_1749,Mini Caravy,88601555,"24, place Kluber",Strasbourg,Strasbourg,67000,France,Citeaux,Frederique,Large
26,100,3668.6,17/08/2004,Shipped,3,8,2004,Vintage Cars,S18_1749,Amica Models & Co.,114988555,Via Monte Bianco 34,Torino,Torino,10100,Italy,Accorti,Paolo,Medium
32,100,5875.2,01/09/2004,Shipped,3,9,2004,Vintage Cars,S18_1749,Handji Gifts& Co,652241555,Village Close - 106 Linden Road Sandown,Singapore,Singapore,69045,Singapore,Victorino,Wendy,Medium
43,100,7310,06/10/2003,Shipped,4,10,2003,Vintage Cars,S18_1749,"UK Collectables, Ltd.",+(1715552282,Berkeley Gardens 12  Brewery,Liverpool,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Large
48,100,8078.4,21/10/2004,Shipped,4,10,2004,Vintage Cars,S18_1749,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Large
44,74.04,3257.76,17/11/2004,Shipped,4,11,2004,Vintage Cars,S18_1749,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa,Medium
45,100,7650,25/11/2004,Shipped,4,11,2004,Vintage Cars,S18_1749,Marseille Mini Autos,91244555,"12, rue des Bouchers",Marseille,Marseille,13008,France,Lebihan,Laurence,Large
37,100,4703.81,12/01/2005,Resolved,1,1,2005,Vintage Cars,S18_1749,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,Pasadena,CA,90003,USA,Young,Julie,Medium
39,100,5399.55,10/02/2005,Shipped,1,2,2005,Vintage Cars,S18_1749,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Medium
76,100,14082.8,22/04/2005,On Hold,2,4,2005,Vintage Cars,S18_1749,The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,San Jose,CA,94217,USA,Frick,Sue,Large
37,100,5283.6,29/05/2005,In Process,2,5,2005,Vintage Cars,S18_1749,Souveniers And Things Co.,61294958555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,2067,Australia,Huxley,Adrian,Medium
38,82.39,3130.82,03/03/2003,Shipped,1,3,2003,Classic Cars,S18_1889,Cruz & Sons Co.,6325553587,15 McCallum Street - NatWest Center #13-03,Makati City,Makati City,1227 MM,Philippines,Cruz,Arnold,Medium
43,72.38,3112.34,08/05/2003,Shipped,2,5,2003,Classic Cars,S18_1889,Marseille Mini Autos,91244555,"12, rue des Bouchers",Marseille,Marseille,13008,France,Lebihan,Laurence,Medium
48,79.31,3806.88,02/07/2003,Shipped,3,7,2003,Classic Cars,S18_1889,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,San Rafael,CA,97562,USA,Nelson,Valarie,Medium
26,82.39,2142.14,05/09/2003,Shipped,3,9,2003,Classic Cars,S18_1889,Collectables For Less Inc.,6175558555,7825 Douglas Av.,Brickhaven,MA,58339,USA,Nelson,Allen,Small
38,88.55,3364.9,11/10/2003,Shipped,4,10,2003,Classic Cars,S18_1889,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,Los Angeles,CA,0,USA,Chandler,Michael,Medium
20,63.14,1262.8,04/11/2003,Shipped,4,11,2003,Classic Cars,S18_1889,Mini Auto Werke,76753555,Kirchgasse 6,Graz,Graz,8010,Austria,Mendel,Roland,Small
22,73.92,1626.24,12/11/2003,Shipped,4,11,2003,Classic Cars,S18_1889,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bergen,Bergen,N 5804,Norway,Oeztan,Veysel,Small
45,90.86,4088.7,20/11/2003,Shipped,4,11,2003,Classic Cars,S18_1889,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie,Medium
45,85.47,3846.15,02/12/2003,Shipped,4,12,2003,Classic Cars,S18_1889,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Medium
20,66.99,1339.8,16/01/2004,Shipped,1,1,2004,Classic Cars,S18_1889,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Small
47,64.68,3039.96,22/02/2004,Shipped,1,2,2004,Classic Cars,S18_1889,"Vida Sport, Ltd",897034555,Grenzacherweg 237,Gensve,Gensve,1203,Switzerland,Holz,Michael,Medium
46,73.92,3400.32,12/04/2004,Shipped,2,4,2004,Classic Cars,S18_1889,"Oulu Toy Supplies, Inc.",981443655,Torikatu 38,Oulu,Oulu,90110,Finland,Koskitalo,Pirkko,Medium
23,83.93,1930.39,01/06/2004,Cancelled,2,6,2004,Classic Cars,S18_1889,"UK Collectables, Ltd.",+(1715552282,Berkeley Gardens 12  Brewery,Liverpool,Liverpool,WX1 6LT,UK,Devon,Elizabeth,Small
33,74.69,2464.77,06/07/2004,Shipped,3,7,2004,Classic Cars,S18_1889,L'ordine Souveniers,522556555,Strada Provinciale 124,Reggio Emilia,Reggio Emilia,42100,Italy,Moroni,Maurizio,Small
29,90.86,2634.94,06/08/2004,Shipped,3,8,2004,Classic Cars,S18_1889,Signal Gift Stores,7025551838,8489 Strong St.,Las Vegas,NV,83030,USA,King,Sue,Small
44,82.39,3625.16,30/08/2004,Shipped,3,8,2004,Classic Cars,S18_1889,"Vida Sport, Ltd",897034555,Grenzacherweg 237,Gensve,Gensve,1203,Switzerland,Holz,Michael,Medium
41,92.4,3788.4,04/10/2003,Shipped,4,10,2003,Classic Cars,S18_1889,"Blauer See Auto, Co.",4.96967E+11,Lyonerstr. 34,Frankfurt,Frankfurt,60528,Germany,Keitel,Roland,Medium
20,91.63,1832.6,16/10/2004,Shipped,4,10,2004,Classic Cars,S18_1889,"Toms Spezialitten, Ltd",2215554327,Mehrheimerstr. 369,Koln,Koln,50739,Germany,Pfalzheim,Henriette,Small
37,78.54,2905.98,04/11/2004,Shipped,4,11,2004,Classic Cars,S18_1889,FunGiftIdeas.com,5085552555,1785 First Street,New Bedford,MA,50553,USA,Benitez,Violeta,Small
29,100,2954.81,15/11/2004,Shipped,4,11,2004,Classic Cars,S18_1889,Land of Toys Inc.,2125557818,897 Long Airport Avenue,NYC,NY,10022,USA,Yu,Kwai,Small
55,65.45,3599.75,24/11/2004,Shipped,4,11,2004,Classic Cars,S18_1889,"Australian Collectors, Co.",395204555,636 St Kilda Road,Melbourne,Victoria,3004,Australia,Ferguson,Peter,Medium
22,100,3686.54,06/01/2005,Shipped,1,1,2005,Classic Cars,S18_1889,Suominen Souveniers,35898045555,"Software Engineering Center, SEC Oy",Espoo,Espoo,FIN-02271,Finland,Suominen,Kalle,Medium
31,67.76,2100.56,09/02/2005,Shipped,1,2,2005,Classic Cars,S18_1889,"Toys of Finland, Co.",902248555,Keskuskatu 45,Helsinki,Helsinki,21240,Finland,Karttunen,Matti,Small
49,79.22,3881.78,03/03/2005,Shipped,1,3,2005,Classic Cars,S18_1889,Scandinavian Gift Ideas,695346555,?kergatan 24,Boras,Boras,S-844 67,Sweden,Larsson,Maria,Medium
61,73.92,4509.12,14/04/2005,Shipped,2,4,2005,Classic Cars,S18_1889,Mini Caravy,88601555,"24, place Kluber",Strasbourg,Strasbourg,67000,France,Citeaux,Frederique,Medium
39,83.93,3273.27,17/05/2005,Shipped,2,5,2005,Classic Cars,S18_1889,Salzburg Collectables,65629555,Geislweg 14,Salzburg,Salzburg,5020,Austria,Pipps,Georg,Medium
38,100,4432.7,10/03/2003,Shipped,1,3,2003,Classic Cars,S18_1984,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,Philadelphia,PA,71270,USA,Hernandez,Rosa,Medium
31,100,4100.99,08/05/2003,Shipped,2,5,2003,Classic Cars,S18_1984,Marseille Mini Autos,91244555,"12, rue des Bouchers",Marseille,Marseille,13008,France,Lebihan,Laurence,Medium
36,100,5274.72,04/07/2003,Shipped,3,7,2003,Classic Cars,S18_1984,Alpha Cognac,61776555,1 rue Alsace-Lorraine,Toulouse,Toulouse,31000,France,Roulet,Annette,Medium
25,100,4232,11/09/2003,Shipped,3,9,2003,Classic Cars,S18_1984,"Anna's Decorations, Ltd",299368555,201 Miller Street,North Sydney,NSW,2060,Australia,O'Hara,Anna,Medium
48,100,6145.44,17/10/2003,Shipped,4,10,2003,Classic Cars,S18_1984,Heintze Collectables,86213555,Smagsloget 45,Aaarhus,Aaarhus,8200,Denmark,Ibsen,Palle,Medium
35,100,4680.2,05/11/2003,Shipped,4,11,2003,Classic Cars,S18_1984,Quebec Home Shopping Network,+(5145558054,43 rue St. Laurent,Montreal,Quebec,H1J 1C3,Canada,Fresnisre,Jean,Medium
21,100,3286.08,12/11/2003,Shipped,4,11,2003,Classic Cars,S18_1984,Herkku Gifts,4722673215,"Drammen 121, PR 744 Sentrum",Bergen,Bergen,N 5804,Norway,Oeztan,Veysel,Medium
47,100,7421.3,20/11/2003,Shipped,4,11,2003,Classic Cars,S18_1984,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,Nashua,NH,62005,USA,Young,Valarie,Large
38,100,6432.64,02/12/2003,Shipped,4,12,2003,Classic Cars,S18_1984,Muscle Machine Inc,2125557413,4092 Furth Circle,NYC,NY,10022,USA,Young,Jeff,Medium
41,100,4840.87,16/01/2004,Shipped,1,1,2004,Classic Cars,S18_1984,Euro Shopping Channel,+(915559444,"C/ Moralzarzal, 86",Madrid,Madrid,28034,Spain,Freyre,Diego,Medium
24,100,3892.08,26/02/2004,Shipped,1,2,2004,Classic Cars,S18_1984,Collectable Mini Designs Co.,7605558146,361 Furth Circle,San Diego,CA,91217,USA,Thompson,Valarie,Medium
